Y_Pixel,X_Pixel,Resolution_Type,Brand,Display size (cm),Display size (inch),model_name,launch_year,smart_tv,os,usb_count,hdmi_count,screen_type,Price
2160,3840,Ultra HD (4K),SONY,138.8,55,KD-55X80K,2021,Yes,Google TV,2,4,LCD,74690
2160,3840,Ultra HD (4K),LG,122.2,55,OLED55C2PSC,2022,Yes,WebOS,3,4,OLED,118990
2160,3840,Ultra HD (4K),LG,164.0,65,OLED65E8PTA,2018,Yes,WebOS,3,4,OLED,299999
720,1280,HD Ready,Hisense,80.0,32,32A4G,2021,Yes,Android,2,2,LED,13999
2160,3840,Ultra HD (4K),LG,139.7,55,55UP7740PTZ,2021,Yes,WebOS,1,2,LED,49990
2160,3840,Ultra HD (4K),SONY,163.9,65,KD-65X8000H,2020,Yes,Android,2,4,LED,179990
2160,3840,Ultra HD (4K),Hisense,189.0,75,75A6K,2023,Yes,Google TV,2,3,LED,74999
2160,3840,Ultra HD (4K),Hisense,305.0,120,120L9HE,2023,Yes,VIDAA,1,3,Laser,499999
2160,3840,Ultra HD (4K),LG,121.92,48,OLED48C1PTZ,2021,Yes,WebOS,3,4,OLED,94990
1080,1920,Full HD,BPL,109.0,43,43F-A4301,2020,Yes,Android,2,2,LED,21414
2160,3840,Ultra HD (4K),LG,139.0,55,55NANO86TNA,2020,Yes,WebOS,3,4,LED,64999
2160,3840,Ultra HD (4K),SONY,163.9,65,KD-65X80K,2022,Yes,Android,2,4,LED,94990
2160,3840,Ultra HD (4K),SAMSUNG,138.0,55,55NU7470,2018,Yes,Tizen,2,3,LED,144900
720,1280,HD Ready,Panasonic,108.0,43,TH-43MS660DX,2023,Yes,Google TV,2,3,LED,27990
2160,3840,Ultra HD (4K),IMPEX,139.0,55,evoQ 55S4RLC2,2023,Yes,Google TV,2,4,LED,40990
720,1280,HD Ready,Gangnam,80.0,32,LEDSTVGG3285HD27-EK,2022,Yes,Android,2,1,LED,9599
2160,3840,Ultra HD (4K),SONY,138.8,55,XR-55X90K,2022,Yes,Google TV,2,4,LED,102999
2160,3840,Ultra HD (4K),SAMSUNG,163.0,65,UA65BU8000KLXL,2022,Yes,Tizen,2,3,LED,74990
720,1280,HD Ready,SKYTRON,80.0,32,S32FHSC,2022,Yes,Android Based,2,2,LED,9530
2160,3840,Ultra HD (4K),CORNEA,165.0,65,65CORFLS05,2022,Yes,Android,3,3,LED,50149
1080,1920,Full HD,LIMEBERRY,109.0,43,43PF09BSNS4GV,2023,Yes,Android,2,2,LED,18699
2160,3840,Ultra HD (4K),LG,164.0,65,OLED65A3PSA,2023,Yes,WebOS,2,3,OLED,159990
2160,3840,Ultra HD (4K),SAMSUNG,163.0,65,QA65QN95BAKLXL,2022,Yes,Tizen,3,4,QLED,189990
2160,3840,Ultra HD (4K),BITPRO,164.0,65,BP65TVAMH65,2023,Yes,Android,2,3,LED,39990
2160,3840,Ultra HD (4K),SAMSUNG,138.0,55,55AU7600KXXL,2022,Yes,Tizen,1,3,LED,49790
2160,3840,Ultra HD (4K),SAMSUNG,189.0,75,UA75NU8000KXXL,2018,Yes,Tizen,2,4,LED,598900
2160,3840,Ultra HD (4K),SONY,163.9,65,KD-65X80J,2021,Yes,Google TV,2,4,LED,94990
2160,3840,Ultra HD (4K),SAMSUNG,163.0,65,QA65Q80AAKLXL,2021,Yes,Tizen,2,4,QLED,134991
2160,3840,Ultra HD (4K),Panasonic,139.0,55,TH-55MX850DX,2023,Yes,Google TV,2,3,LED,66719
2160,3840,Ultra HD (4K),SAMSUNG,163.0,65,UA65CU7650KLXL,2023,Yes,Tizen,1,3,LED,69990
2160,3840,Ultra HD (4K),Blaupunkt,164.0,65,65CSGT7024,2023,Yes,Google TV,2,3,LED,42999
2160,3840,Ultra HD (4K),SAMSUNG,163.0,65,QA65Q60AAKLXL,2021,Yes,Tizen,2,3,QLED,104990
720,1280,HD Ready,SAMSUNG,80.0,32,UA32T4360AKXXL,2022,Yes,Tizen,1,2,LED,16001
2160,3840,Ultra HD (4K),LG,190.0,75,75NANO91TNA,2020,Yes,WebOS,3,4,LED,445044
2160,3840,Ultra HD (4K),LG,190.5,75,75UP8000PTZ,2021,Yes,WebOS,2,3,LED,129990
